time_s,wDown,accelerationDown,aeroThrust1,aeroThrust2,hubThrust1,hubThrust2,vi1,vi2,beta1,beta2,betaRate1,betaRate2
1.965,-0.279236787922376,-0.163584390546227,29910.7332275199,29910.7332275199,29910.7031716387,29910.7031716387,16.2693363242408,16.2693363242408,0.0343292121231192,0.0343292121231192,-9.73125175108604e-05,-9.73125175108604e-05
1.97,-0.280054308582621,-0.163424041288744,29910.2526114282,29910.2526114282,29910.2221238662,29910.2221238662,16.2687960544705,16.2687960544705,0.0343287270418345,0.0343287270418345,-9.67186033997644e-05,-9.67186033997644e-05
1.975,-0.28087102999822,-0.163264687348335,29909.7727289341,29909.7727289341,29909.744062045,29909.744062045,16.2682561945915,16.2682561945915,0.0343282449136768,0.0343282449136768,-9.61385943693746e-05,-9.61385943693746e-05
1.98,-0.281686957006637,-0.16310626162558,29909.2936912706,29909.2936912706,29909.2687848767,29909.2687848767,16.267716782304,16.267716782304,0.0343277655637464,0.0343277655637464,-9.56136223834863e-05,-9.56136223834863e-05
1.985,-0.282502093948481,-0.162948634715227,29908.815568417,29908.815568417,29908.7959041457,29908.7959041457,16.2671778599904,16.2671778599904,0.0343272886292644,0.0343272886292644,-9.51772334229583e-05,-9.51772334229583e-05
1.99,-0.283316444393021,-0.162791630366509,29908.3383858833,29908.3383858833,29908.3248910995,29908.3248910995,16.2666394706908,16.2666394706908,0.0343268136038262,0.0343268136038262,-9.48530194361181e-05,-9.48530194361181e-05
1.995,-0.284130010949176,-0.162635043913547,29907.8621255517,29907.8621255517,29907.8551317406,29907.8551317406,16.2661016543014,16.2661016543014,0.034326339890979,0.034326339890979,-9.46532726316946e-05,-9.46532726316946e-05
2,-0.284942795172332,-0.162478661880757,29907.3867302232,29907.3867302232,29907.3859856423,29907.3859856423,16.2655644443064,16.2655644443064,0.0343258668618571,0.0343258668618571,-9.45787074199494e-05,-9.45787074199494e-05
2.005,-0.28575479756842,-0.162322280991191,29906.9121112188,29906.9121112188,29906.9168429736,29906.9168429736,16.26502786529,16.26502786529,0.0343253939116235,0.0343253939116235,-9.46192000909038e-05,-9.46192000909038e-05
2.01,-0.286566017688154,-0.162165724979701,29906.4381581705,29906.4381581705,29906.4471749391,29906.4471749391,16.2644919313878,16.2644919313878,0.0343249205099331,0.0343249205099331,-9.47554120059984e-05,-9.47554120059984e-05
2.015,-0.287376454297063,-0.162008857912991,29905.9647500041,29905.9647500041,29905.976573739,29905.976573739,16.2639566457464,16.2639566457464,0.034324446241479,0.034324446241479,-9.49610951644866e-05,-9.49610951644866e-05
