source,theta_report_deg,offset_deg,memory,omega_rad_s,G_real_CT_per_rad,G_imag_CT_per_rad,static_slope_CT_per_rad
OFF,7,-1,CF,13.3352143216332,0.0571002503959417,0.00904735517703857,0.0530805398248293
OFF,7,-1,CF,14.1253754462275,0.0575017931635127,0.00939446941410397,0.0530805398248293
OFF,7,-1,CF,14.9623565609443,0.0579338873401447,0.00973572381733668,0.0530805398248293
OFF,7,-1,CF,15.8489319246111,0.0583969637017467,0.0100680753195356,0.0530805398248293
OFF,7,-1,CF,16.7880401812256,0.0588910781996947,0.01038827002424,0.0530805398248293
OFF,7,-1,CF,17.7827941003892,0.059415857101703,0.0106928931117481,0.0530805398248293
OFF,7,-1,CF,18.836490894898,0.0599704489566217,0.0109784328601842,0.0530805398248293
OFF,7,-1,CF,19.9526231496888,0.0605534871984174,0.0112413580262485,0.0530805398248293
OFF,7,-1,CF,21.1348903983665,0.0611630672312677,0.0114782067175297,0.0530805398248293
OFF,7,-1,CF,22.3872113856834,0.061796741511329,0.0116856837007731,0.0530805398248293
OFF,7,-1,CF,23.7137370566166,0.0624515354155608,0.0118607619507972,0.0530805398248293
OFF,7,-1,CF,25.1188643150958,0.0631239855649461,0.0120007832990965,0.0530805398248293
OFF,7,-1,CF,26.6072505979881,0.063810200808123,0.0121035524399374,0.0530805398248293
OFF,7,-1,CF,28.1838293126445,0.0645059443928881,0.0121674184237707,0.0530805398248293
OFF,7,-1,CF,29.8538261891796,0.0652067341304254,0.0121913381932452,0.0530805398248293
OFF,7,-1,CF,31.6227766016838,0.0659079557935721,0.0121749177054189,0.0530805398248293
OFF,7,-1,CF,33.4965439157828,0.0666049837871831,0.0121184276625711,0.0530805398248293
OFF,7,-1,CF,35.4813389233575,0.0672933024495144,0.0120227926938389,0.0530805398248293
OFF,7,-1,CF,37.5837404288444,0.0679686212840364,0.0118895547850001,0.0530805398248293
OFF,7,-1,CF,39.8107170553497,0.0686269779896735,0.0117208136155073,0.0530805398248293
OFF,7,-1,CF,42.1696503428582,0.0692648242738877,0.0115191480175413,0.0530805398248293
OFF,7,-1,CF,44.6683592150963,0.0698790909440948,0.0112875238594255,0.0530805398248293
OFF,7,-1,CF,47.315125896148,0.070467230481706,0.0110291941876472,0.0530805398248293
OFF,7,-1,CF,50.1187233627273,0.07102723700423,0.0107475974325682,0.0530805398248293
OFF,7,-1,CF,53.0884444230988,0.0715576450335624,0.0104462589611091,0.0530805398248293
OFF,7,-1,CF,56.2341325190349,0.0720575096809949,0.0101287003670328,0.0530805398248293
OFF,7,-1,CF,59.566214352901,0.0725263716604138,0.0097983597743614,0.0530805398248293
OFF,7,-1,CF,63.0957344480193,0.0729642109394943,0.00945852524067032,0.0530805398248293
OFF,7,-1,CF,66.8343917568615,0.0733713928726554,0.0091122822125754,0.0530805398248293
OFF,7,-1,CF,70.7945784384138,0.0737486104006566,0.00876247500011647,0.0530805398248293
OFF,7,-1,CF,74.9894209332456,0.0740968254373802,0.00841168145632277,0.0530805398248293
OFF,7,-1,CF,79.4328234724281,0.0744172119825922,0.0080621994937616,0.0530805398248293
OFF,7,-1,CF,84.1395141645195,0.0747111028779252,0.00771604373342003,0.0530805398248293
OFF,7,-1,CF,89.1250938133746,0.0749799415227819,0.0073749504353026,0.0530805398248293
OFF,7,-1,CF,94.4060876285924,0.075225239329209,0.00704038886638417,0.0530805398248293
OFF,7,-1,CF,100,0.0754485392440615,0.00671357737858289,0.0530805398248293
OFF,7,0,PP,0.1,0.053080649132909,5.07493296855907e-05,0.0530805398248293
OFF,7,0,PP,0.105925372517729,0.0530806624704425,5.37563860900259e-05,0.0530805398248293
OFF,7,0,PP,0.112201845430196,0.0530806774353833,5.69416160522217e-05,0.0530805398248293
OFF,7,0,PP,0.118850222743702,0.0530806942263003,6.03155759379657e-05,0.0530805398248293
OFF,7,0,PP,0.125892541179417,0.0530807130659907,6.38894474132313e-05,0.0530805398248293
OFF,7,0,PP,0.133352143216332,0.053080734204435,6.76750744571266e-05,0.0530805398248293
OFF,7,0,PP,0.141253754462275,0.0530807579221145,7.16850025607562e-05,0.0530805398248293
OFF,7,0,PP,0.149623565609443,0.0530807845337317,7.59325202401558e-05,0.0530805398248293
OFF,7,0,PP,0.158489319246111,0.0530808143923858,8.04317029987948e-05,0.0530805398248293
OFF,7,0,PP,0.167880401812256,0.0530808478942566,8.51974598828659e-05,0.0530805398248293
OFF,7,0,PP,0.177827941003892,0.0530808854838605,9.02455827807009e-05,0.0530805398248293
OFF,7,0,PP,0.18836490894898,0.053080927659947,9.5592798626193e-05,0.0530805398248293
OFF,7,0,PP,0.199526231496888,0.0530809749821146,0.00010125682467506,0.0530805398248293
