time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
2.135,-0.157577792535079,-0.157577792535089,29892.6871780348,29892.6871780348
2.14,-0.157424529313279,-0.157424529313285,29892.2277389179,29892.2277389179
2.145,-0.15727140095305,-0.157271400953055,29891.7687077946,29891.7687077946
2.15,-0.157118419031626,-0.15711841903163,29891.3100878828,29891.3100878828
2.155,-0.156965594099608,-0.156965594099613,29890.8518842954,29890.8518842954
2.16,-0.15681293483108,-0.156812934831083,29890.3941034082,29890.3941034083
2.165,-0.15666044740547,-0.156660447405474,29889.9367521684,29889.9367521684
2.17,-0.156508135156593,-0.156508135156596,29889.4798374076,29889.4798374076
2.175,-0.15635599849806,-0.156355998498061,29889.0233652212,29889.0233652212
2.18,-0.15620403510951,-0.156204035109508,29888.5673404608,29888.5673404608
2.185,-0.156052240346442,-0.156052240346437,29888.1117663762,29888.1117663762
2.19,-0.155900607820095,-0.15590060782009,29887.656644426,29887.656644426
2.195,-0.155749130083088,-0.155749130083081,29887.2019742589,29887.2019742589
2.2,-0.155597799352558,-0.155597799352553,29886.7477538555,29886.7477538555
2.205,-0.155446608204717,-0.155446608204713,29886.2939798036,29886.2939798036
2.21,-0.155295550182462,-0.155295550182458,29885.8406476732,29885.8406476732
2.215,-0.155144620270028,-0.155144620270025,29885.3877524501,29885.3877524501
2.22,-0.154993815203885,-0.154993815203884,29884.9352889866,29884.9352889866
2.225,-0.154843133605866,-0.154843133605866,29884.4832524268,29884.4832524268
2.23,-0.154692575941149,-0.154692575941149,29884.0316385728,29884.0316385728
2.235,-0.154542144318742,-0.154542144318746,29883.5804441646,29883.5804441646
2.24,-0.154391842164553,-0.15439184216456,29883.1296670553,29883.1296670553
2.245,-0.1542416738057,-0.154241673805707,29882.6793062751,29882.6793062751
2.25,-0.15409164400948,-0.154091644009491,29882.2293619879,29882.229361988
2.255,-0.153941757520854,-0.153941757520861,29881.7798353527,29881.7798353527
2.26,-0.153792018638891,-0.153792018638897,29881.3307283081,29881.3307283081
2.265,-0.15364243086605,-0.15364243086606,29880.8820433074,29880.8820433074
2.27,-0.153492996655064,-0.153492996655068,29880.4337830296,29880.4337830296
2.275,-0.153343717267655,-0.153343717267658,29879.9859500934,29879.9859500934
2.28,-0.153194592748531,-0.153194592748531,29879.5385467996,29879.5385467996
2.285,-0.153045622007633,-0.153045622007633,29879.0915749227,29879.0915749227
2.29,-0.152896802994863,-0.152896802994862,29878.6450355638,29878.6450355638
2.295,-0.152748132944547,-0.152748132944546,29878.1989290749,29878.1989290749
2.3,-0.152599608662843,-0.152599608662849,29877.7532550546,29877.7532550546
2.305,-0.152451226829462,-0.152451226829463,29877.3080124096,29877.3080124096
2.31,-0.152302984286284,-0.152302984286287,29876.8631994719,29876.8631994719
2.315,-0.152154878288769,-0.15215487828877,29876.4188141568,29876.4188141568
2.32,-0.152006906701111,-0.152006906701112,29875.9748541443,29875.9748541443
2.325,-0.151859068122688,-0.151859068122693,29875.5313170674,29875.5313170674
2.33,-0.151711361940266,-0.15171136194027,29875.088200688,29875.088200688
2.335,-0.151563788307285,-0.151563788307293,29874.6455030493,29874.6455030493
2.34,-0.151416348057952,-0.151416348057955,29874.2032225898,29874.2032225898
2.345,-0.151269042568794,-0.151269042568795,29873.7613582148,29873.7613582148
2.35,-0.151121873583995,-0.151121873584,29873.3199093212,29873.3199093212
2.355,-0.15097484302265,-0.150974843022651,29872.8788757771,29872.8788757771
2.36,-0.150827952786164,-0.150827952786166,29872.4382578626,29872.4382578626
2.365,-0.150681204582659,-0.150681204582661,29871.9980561786,29871.9980561786
2.37,-0.150534599782292,-0.150534599782292,29871.5582715358,29871.5582715358
2.375,-0.150388139313656,-0.150388139313659,29871.1189048336,29871.1189048336
2.38,-0.150241823607028,-0.150241823607028,29870.6799569413,29870.6799569413
2.385,-0.150095652585621,-0.150095652585623,29870.2414285916,29870.2414285916
2.39,-0.149949625701832,-0.149949625701827,29869.8033202942,29869.8033202942
2.395,-0.149803742011633,-0.149803742011635,29869.3656322762,29869.3656322762
2.4,-0.149658000277665,-0.149658000277662,29868.9283644516,29868.9283644516
2.405,-0.149512399089617,-0.149512399089613,29868.4915164208,29868.4915164208
2.41,-0.14936693699012,-0.14936693699012,29868.0550874974,29868.0550874974
