time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
1.44,-0.18083690134184,-0.180836901341831,29963.5976626704,29963.5976626704
1.445,-0.180644859957962,-0.180644859957955,29962.9947372022,29962.9947372022
1.45,-0.180488988864575,-0.180488988864568,29962.406892841,29962.406892841
1.455,-0.180365044322468,-0.180365044322468,29961.8382274292,29961.8382274292
1.46,-0.180266337550759,-0.18026633755076,29961.2909449724,29961.2909449724
1.465,-0.18018448029674,-0.180184480296744,29960.7652964882,29960.7652964882
1.47,-0.180110225580255,-0.180110225580259,29960.2596931903,29960.2596931903
1.475,-0.180034325261921,-0.180034325261931,29959.7709707874,29959.7709707874
1.48,-0.17994832685914,-0.17994832685915,29959.2947712101,29959.2947712101
1.485,-0.179845248036008,-0.179845248036019,29958.8260012107,29958.8260012108
1.49,-0.179720076224501,-0.179720076224513,29958.3593219585,29958.3593219585
1.495,-0.17957006513567,-0.179570065135678,29957.8896266024,29957.8896266024
1.5,-0.179394814589024,-0.179394814589036,29957.4124643632,29957.4124643632
1.505,-0.179196142937398,-0.179196142937408,29956.9243789269,29956.9243789269
1.51,-0.178977776690493,-0.178977776690496,29956.4231378526,29956.4231378526
1.515,-0.178744897130727,-0.178744897130725,29955.9078402704,29955.9078402704
1.52,-0.178503592937185,-0.178503592937179,29955.3789024113,29955.3789024113
1.525,-0.178260272415849,-0.178260272415844,29954.8379306242,29954.8379306242
1.53,-0.178021088647448,-0.17802108864744,29954.2875005035,29954.2875005035
1.535,-0.177791426606537,-0.177791426606533,29953.7308677289,29953.7308677289
1.54,-0.177575491806633,-0.177575491806627,29953.171640196,29953.171640196
1.545,-0.177376029361375,-0.177376029361369,29952.6134425418,29952.6134425418
1.55,-0.1771941882361,-0.177194188236096,29952.0596024916,29952.0596024916
1.555,-0.177029532472176,-0.177029532472175,29951.5128842983,29951.5128842983
1.56,-0.176880188458677,-0.176880188458677,29950.9752893103,29950.9752893103
1.565,-0.176743105960559,-0.176743105960562,29950.4479361586,29950.4479361586
1.57,-0.17661440249943,-0.17661440249943,29949.9310253275,29949.9310253275
1.575,-0.176489755670249,-0.176489755670249,29949.4238853067,29949.4238853067
1.58,-0.176364806392038,-0.176364806392041,29948.9250907694,29948.9250907694
1.585,-0.17623553728317,-0.176235537283174,29948.4326375962,29948.4326375962
1.59,-0.17609859544232,-0.176098595442323,29947.9441556671,29947.9441556671
1.595,-0.175951535650385,-0.175951535650386,29947.4571385391,29947.4571385391
1.6,-0.175792968407653,-0.175792968407654,29946.9691689821,29946.9691689821
1.605,-0.175622606675087,-0.175622606675091,29946.4781211715,29946.4781211715
1.61,-0.175441214377406,-0.175441214377407,29945.9823238161,29945.9823238161
1.615,-0.175250467815015,-0.175250467815015,29945.4806727959,29945.4806727959
1.62,-0.175052748002672,-0.175052748002668,29944.9726871192,29944.9726871192
1.625,-0.174850886542789,-0.174850886542782,29944.4585072582,29944.4585072582
1.63,-0.174647890271402,-0.174647890271397,29943.9388400001,29943.9388400001
1.635,-0.174446669826707,-0.174446669826702,29943.4148582924,29943.4148582924
1.64,-0.174249795291411,-0.17424979529141,29942.8880678142,29942.8880678142
1.645,-0.174059298107543,-0.174059298107538,29942.3601540855,29942.3601540855
1.65,-0.173876533144735,-0.173876533144735,29941.8328246443,29941.8328246443
1.655,-0.173702108654998,-0.173702108654998,29941.3076602398,29941.3076602398
1.66,-0.173535885461289,-0.173535885461291,29940.7859872594,29940.7859872594
1.665,-0.173377040651571,-0.17337704065157,29940.2687809037,29940.2687809037
1.67,-0.173224185835857,-0.173224185835855,29939.7566053517,29939.7566053517
1.675,-0.173075525983549,-0.173075525983549,29939.2495935049,29939.2495935049
1.68,-0.172929042339853,-0.172929042339851,29938.747465324,29938.747465324
